"filename", "language", "Markdown", "Makefile", "TOML", "Properties", "Python", "JSON", "TypeScript", "JSON with Comments", "CSS", "JavaScript", "TypeScript JSX", "Ini", "comment", "blank", "total"
"/Users/leodube/repos/FPLTinker/jobs/data-updater/data_updater/updaters/teams.py", "Python", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 11, 34
"/Users/leodube/repos/FPLTinker/jobs/data-updater/data_updater/updaters/utils/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/leodube/repos/FPLTinker/jobs/data-updater/data_updater/updaters/utils/config_details.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 6, 19
"/Users/leodube/repos/FPLTinker/jobs/data-updater/data_updater/updaters/utils/date_utilities.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/leodube/repos/FPLTinker/jobs/data-updater/data_updater/updaters/utils/db_utilities.py", "Python", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29
"/Users/leodube/repos/FPLTinker/jobs/data-updater/data_updater/updaters/utils/stat_details.py", "Python", 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 2, 6, 169
"/Users/leodube/repos/FPLTinker/jobs/data-updater/data_updater/worker.py", "Python", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"/Users/leodube/repos/FPLTinker/jobs/data-updater/logging.conf", "Properties", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"/Users/leodube/repos/FPLTinker/jobs/data-updater/poetry.lock", "TOML", 0, 0, 1507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 118, 1626
"/Users/leodube/repos/FPLTinker/jobs/data-updater/pyproject.toml", "TOML", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/leodube/repos/FPLTinker/jobs/data-updater/setup.cfg", "Properties", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/leodube/repos/FPLTinker/jobs/data-updater/tests/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/leodube/repos/FPLTinker/jobs/data-updater/update.py", "Python", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 10, 41
"/Users/leodube/repos/FPLTinker/models/Makefile", "Makefile", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 75
"/Users/leodube/repos/FPLTinker/models/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/leodube/repos/FPLTinker/models/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/leodube/repos/FPLTinker/models/config.py", "Python", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 2, 20, 61
